	compound	negative	neutral	org	positive	text	tweets_ago
0	0.0	0.0	1.0	BBCNews	0.0	Plymouth Pryzm nightclub deaths: Tributes paid to teenagers https://t.co/vS3fHvTo0B	1
1	0.4215	0.0	0.641	BBCNews	0.359	Manchester United 1-2 Manchester City https://t.co/5jrzPbLXbT	2
2	0.7574	0.0	0.727	BBCNews	0.273	"RT @BBCSport: Full time! Manchester United 1-2 Manchester City.

Pep Guardiola's side move 11 points clear at the top of the Premier League…"	3
3	0.0	0.0	1.0	BBCNews	0.0	Qatar buys 24 Eurofighter Typhoon jets in £6bn deal https://t.co/RPDlOvjxWI	4
4	0.1901	0.0	0.923	BBCNews	0.077	RT @bbcweather: #Snow continues to ease for many overnight, but #ice will then become a hazard in many areas as temperatures plummet https:…	5
5	0.0	0.0	1.0	BBCNews	0.0	RT @bbcweather: After a weekend of heavy snowfalls across large swathes of the UK, what's in store for the week ahead? Here's the full pict…	6
6	-0.5093	0.162	0.838	BBCNews	0.0	"RT @BBCSport: All over! 

Wayne Rooney's late penalty earns Everton a 1-1 draw at Liverpool.

Manager reaction here: https://t.co/Ka8og7nji…"	7
7	0.4215	0.055	0.828	BBCNews	0.117	"RT @BBCBreakfast: #Snow has been falling around the #UK - with up to 10 inches in some places 🧣❄️🧤☃️🌬️
Have you been out enjoying it? We wo…"	8
8	-0.5574	0.205	0.795	BBCNews	0.0	RT @BBCWorld: Star Wars: The Last Jedi - tributes to Carrie Fisher at LA premiere https://t.co/qYTiD3qGBD	9
9	0.4588	0.0	0.625	BBCNews	0.375	RT @BBCJonSopel: London looking cute https://t.co/V6vCg6N7na	10
10	0.0516	0.16	0.67	BBCNews	0.17	"Scenes of fun and frustration as snow hits parts of the UK ❄️🛷☃️ 

https://t.co/q8TF4YkVXY https://t.co/qZ0aa9ioRW"	11
11	0.0	0.0	1.0	BBCNews	0.0	Ex soldier says Foreign Office 'betrayed' Chennai Six https://t.co/sDwU1eu65r	12
12	-0.3182	0.223	0.647	BBCNews	0.129	Ashes: Ben Duckett suspended from playing on England Lions tour https://t.co/c5ELhCYD8L	13
13	-0.34	0.194	0.806	BBCNews	0.0	RT @danroan: ECB suspends Duckett &amp; gives him final warning https://t.co/4khtWkiMMj	14
